id,name,category,region,batch,projectCode,protectUnits,tags,popularity,experienceValue,intro,detailUrl,manualVector
national-0001,苗族古歌,民间文学,贵州省台江县、黄平县,第一批,Ⅰ—1,,民间文学；故事叙事；地方记忆；声音艺术；现场聆听,82,58,苗族古歌是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为贵州省台江县、黄平县。,,
national-0002,苗族古歌,民间文学,湖南省花垣县,第三批扩展项目,Ⅰ—1,,民间文学；故事叙事；地方记忆；声音艺术；现场聆听,75,58,苗族古歌是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为湖南省花垣县。,,
national-0003,苗族古歌（簪汪传）,民间文学,贵州省贵阳市清镇市,第五批扩展项目,Ⅰ—1,,民间文学；簪汪传；故事叙事；地方记忆；声音艺术；现场聆听,72,58,苗族古歌（簪汪传）是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为贵州省贵阳市清镇市。,,
national-0004,布洛陀,民间文学,广西壮族自治区田阳县,第一批,Ⅰ—2,,民间文学,82,58,布洛陀是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为广西壮族自治区田阳县。,,
national-0005,遮帕麻和遮咪麻,民间文学,云南省梁河县,第一批,Ⅰ—3,,民间文学,82,58,遮帕麻和遮咪麻是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为云南省梁河县。,,
national-0006,牡帕密帕,民间文学,云南省思茅市,第一批,Ⅰ—4,,民间文学,82,58,牡帕密帕是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为云南省思茅市。,,
national-0007,刻道,民间文学,贵州省施秉县,第一批,Ⅰ—5,,民间文学,82,58,刻道是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为贵州省施秉县。,,
national-0008,白蛇传传说,民间文学,江苏省镇江市，浙江省杭州市,第一批,Ⅰ—6,,民间文学；故事叙事；地方记忆,82,58,白蛇传传说是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为江苏省镇江市，浙江省杭州市。,,
national-0009,梁祝传说,民间文学,浙江省宁波市、杭州市、绍兴市上虞区，江苏省宜兴市，山东省济宁市，河南省汝南县,第一批,Ⅰ—7,,民间文学；故事叙事；地方记忆,82,58,梁祝传说是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为浙江省宁波市、杭州市、绍兴市上虞区，江苏省宜兴市，山东省济宁市，河南省汝南县。,,
national-0010,孟姜女传说,民间文学,山东省淄博市,第一批,Ⅰ—8,,民间文学；故事叙事；地方记忆,82,58,孟姜女传说是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为山东省淄博市。,,
national-0011,孟姜女传说,民间文学,河北省秦皇岛市，湖南省津市市,第二批扩展项目,Ⅰ—8,,民间文学；故事叙事；地方记忆,78,58,孟姜女传说是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为河北省秦皇岛市，湖南省津市市。,,
national-0012,孟姜女传说,民间文学,山东省莒县,第三批扩展项目,Ⅰ—8,,民间文学；故事叙事；地方记忆,75,58,孟姜女传说是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为山东省莒县。,,
national-0013,孟姜女传说,民间文学,山东省莱芜市莱城区,第四批扩展项目,Ⅰ—8,,民间文学；故事叙事；地方记忆,73,58,孟姜女传说是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为山东省莱芜市莱城区。,,
national-0014,董永传说,民间文学,山西省万荣县，江苏省东台市，河南省武陟县，湖北省孝感市,第一批,Ⅰ—9,,民间文学；故事叙事；地方记忆,82,58,董永传说是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为山西省万荣县，江苏省东台市，河南省武陟县，湖北省孝感市。,,
national-0015,董永传说,民间文学,江苏省常州市金坛区，山东省博兴县,第二批扩展项目,Ⅰ—9,,民间文学；故事叙事；地方记忆,78,58,董永传说是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为江苏省常州市金坛区，山东省博兴县。,,
national-0016,董永传说,民间文学,江苏省丹阳市,第三批扩展项目,Ⅰ—9,,民间文学；故事叙事；地方记忆,75,58,董永传说是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为江苏省丹阳市。,,
national-0017,西施传说,民间文学,浙江省诸暨市,第一批,Ⅰ—10,,民间文学；故事叙事；地方记忆,82,58,西施传说是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为浙江省诸暨市。,,
national-0018,济公传说,民间文学,浙江省天台县,第一批,Ⅰ—11,,民间文学；故事叙事；地方记忆,82,58,济公传说是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为浙江省天台县。,,
national-0019,满族说部,民间文学,吉林省,第一批,Ⅰ—12,,民间文学,82,58,满族说部是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为吉林省。,,
national-0020,满族说部（孙吴县满语故事）,民间文学,黑龙江省黑河市孙吴县,第五批扩展项目,Ⅰ—12,,民间文学；孙吴县满语故事；故事叙事；地方记忆,72,58,满族说部（孙吴县满语故事）是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为黑龙江省黑河市孙吴县。,,
national-0021,河西宝卷,民间文学,甘肃省武威市凉州区、酒泉市肃州区,第一批,Ⅰ—13,,民间文学；故事叙事；地方记忆,82,58,河西宝卷是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为甘肃省武威市凉州区、酒泉市肃州区。,,
national-0022,宝卷（靖江宝卷、河西宝卷）,民间文学,江苏省靖江市，甘肃省张掖市,第二批扩展项目,Ⅰ—13,,民间文学；靖江宝卷；河西宝卷；故事叙事；地方记忆,78,58,宝卷（靖江宝卷、河西宝卷）是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为江苏省靖江市，甘肃省张掖市。,,
national-0023,宝卷（吴地宝卷）,民间文学,江苏省苏州市,第四批扩展项目,Ⅰ—13,,民间文学；吴地宝卷；故事叙事；地方记忆,73,58,宝卷（吴地宝卷）是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为江苏省苏州市。,,
national-0024,宝卷（岷县宝卷）,民间文学,甘肃省定西市岷县,第五批扩展项目,Ⅰ—13,,民间文学；岷县宝卷；故事叙事；地方记忆,72,58,宝卷（岷县宝卷）是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为甘肃省定西市岷县。,,
national-0025,耿村民间故事,民间文学,河北省石家庄市藁城区,第一批,Ⅰ—14,,民间文学；故事叙事；地方记忆,82,58,耿村民间故事是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为河北省石家庄市藁城区。,,
national-0026,伍家沟民间故事,民间文学,湖北省丹江口市,第一批,Ⅰ—15,,民间文学；故事叙事；地方记忆,82,58,伍家沟民间故事是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为湖北省丹江口市。,,
national-0027,下堡坪民间故事,民间文学,湖北省宜昌市夷陵区,第一批,Ⅰ—16,,民间文学；故事叙事；地方记忆,82,58,下堡坪民间故事是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为湖北省宜昌市夷陵区。,,
national-0028,走马镇民间故事,民间文学,重庆市九龙坡区,第一批,Ⅰ—17,,民间文学；故事叙事；地方记忆,82,58,走马镇民间故事是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为重庆市九龙坡区。,,
national-0029,古渔雁民间故事,民间文学,辽宁省大洼县,第一批,Ⅰ—18,,民间文学；故事叙事；地方记忆,82,58,古渔雁民间故事是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为辽宁省大洼县。,,
national-0030,喀左东蒙民间故事,民间文学,辽宁省喀喇沁左翼蒙古族自治县,第一批,Ⅰ—19,,民间文学；故事叙事；地方记忆,82,58,喀左东蒙民间故事是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为辽宁省喀喇沁左翼蒙古族自治县。,,
national-0031,谭振山民间故事,民间文学,辽宁省新民市,第一批,Ⅰ—20,,民间文学；故事叙事；地方记忆,82,58,谭振山民间故事是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为辽宁省新民市。,,
national-0032,河间歌诗,民间文学,河北省河间市,第一批,Ⅰ—21,,民间文学；故事叙事；地方记忆；声音艺术；现场聆听,82,58,河间歌诗是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为河北省河间市。,,
national-0033,吴歌,民间文学,江苏省苏州市,第一批,Ⅰ—22,,民间文学；故事叙事；地方记忆；声音艺术；现场聆听,82,58,吴歌是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为江苏省苏州市。,,
national-0034,吴歌,民间文学,上海市青浦区，江苏省无锡市,第二批扩展项目,Ⅰ—22,,民间文学；故事叙事；地方记忆；声音艺术；现场聆听,78,58,吴歌是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为上海市青浦区，江苏省无锡市。,,
national-0035,刘三姐歌谣,民间文学,广西壮族自治区河池市宜州区,第一批,Ⅰ—23,,民间文学；故事叙事；地方记忆；声音艺术；现场聆听,82,58,刘三姐歌谣是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为广西壮族自治区河池市宜州区。,,
national-0036,四季生产调,民间文学,云南省红河哈尼族彝族自治州,第一批,Ⅰ—24,,民间文学；舞台表演；传统审美,82,58,四季生产调是民间文学类国家级非物质文化遗产代表性项目，申报地区或单位为云南省红河哈尼族彝族自治州。,,
